Rank,Release Group,Worldwide,Domestic,%,Foreign,%
95,The Hunt,"$11,472,187","$5,812,500",50.7%,"$5,659,687",49.3%
96,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
97,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
98,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
99,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
100,One Second,"$10,600,000",-,-,"$10,600,000",100%
101,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
102,Let Him Go,"$10,448,550","$9,358,025",89.6%,"$1,090,525",10.4%
103,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
104,My Spy,"$10,200,000",-,-,"$10,200,000",100%
105,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
106,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
107,10 Days with Dad,"$9,470,574",$856,<0.1%,"$9,469,718",100%
108,365 Days,"$9,458,590",-,-,"$9,458,590",100%
109,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
110,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
111,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
112,Bigfoot Family,"$9,302,722",-,-,"$9,302,722",100%
113,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
114,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
115,The Closet,"$8,948,595",-,-,"$8,948,595",100%
116,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
117,30 jours max,"$8,892,022",-,-,"$8,892,022",100%
118,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
119,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
120,The Secret Garden,"$8,706,648",-,-,"$8,706,648",100%
121,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
122,Malasaña 32,"$8,440,605",-,-,"$8,440,605",100%
123,Malang,"$8,399,765",-,-,"$8,399,765",100%
124,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
125,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
126,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
127,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
128,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
129,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
130,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
131,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
132,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
133,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
134,De Gaulle,"$7,145,454",-,-,"$7,145,454",100%
135,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
136,Adu,"$7,085,946",-,-,"$7,085,946",100%
137,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
138,Spycies,"$6,978,537",-,-,"$6,978,537",100%
139,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
140,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
141,Antoinette dans les Cévennes,"$6,835,146",-,-,"$6,835,146",100%
142,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
143,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
144,Innocence,"$6,659,968",-,-,"$6,659,968",100%
145,Fatale,"$6,593,015","$6,306,897",95.7%,"$286,118",4.3%
146,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
147,Silver Skates,"$6,574,310",-,-,"$6,574,310",100%
148,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
149,Dragon Rider,"$6,443,746",-,-,"$6,443,746",100%
150,"Love Me, Love Me Not","$6,439,606",-,-,"$6,439,606",100%
151,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
152,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
153,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
154,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
155,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
156,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
157,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
158,100% Wolf,"$6,134,653","$647,904",10.6%,"$5,486,749",89.4%
159,Hotel Belgrade,"$6,085,537",-,-,"$6,085,537",100%
160,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
161,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
162,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
163,How to Be a Good Wife,"$5,946,408",-,-,"$5,946,408",100%
164,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
165,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
166,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
167,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
168,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
169,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
170,The Father,"$5,519,448","$2,008,344",36.4%,"$3,511,104",63.6%
171,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
172,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
173,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
174,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
175,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
176,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
177,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
178,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
179,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
180,Mayday,"$5,011,408",-,-,"$5,011,408",100%
181,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
182,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
183,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
184,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
185,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
186,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
187,Mama Weed,"$4,838,622",-,-,"$4,838,622",100%
188,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
189,The Vets,"$4,788,826",-,-,"$4,788,826",100%
190,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
191,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
192,Intruder,"$4,751,103",-,-,"$4,751,103",100%
193,Granny Nanny,"$4,654,655",$432,<0.1%,"$4,654,223",100%
194,Military Wives,"$4,549,863",-,-,"$4,549,863",100%
195,Jawaani Jaaneman,"$4,495,290",-,-,"$4,495,290",100%
196,Not Quite Dead Yet,"$4,405,016",-,-,"$4,405,016",100%
197,Bhoot: Part One - The Haunted Ship,"$4,377,328",-,-,"$4,377,328",100%
198,Rams,"$4,358,957",-,-,"$4,358,957",100%
199,The Golden Holiday,"$4,356,489",-,-,"$4,356,489",100%
200,Mr. Zoo: The Missing VIP,"$4,354,691",-,-,"$4,354,691",100%
